SAMN35557946_p2	SAMN35557946_p2,SAMN44841002_p4,SAMN03945146_p2,SAMN02368257_p4,SAMN02368256_p2,SAMN16057424_p2,SAMN03941073_p1,SAMN40891096_p3,SAMN40891092_p2,SAMN40891084_p2,SAMEA8103025_p2,SAMN11547027_p1,SAMN04145926_p2,SAMEA8103018_p2,SAMEA112324431_p2,SAMN16057386_p2,SAMN55846949_p2,SAMN12364845_p3,SAMN06163187_p3,SAMN06162268_p3,SAMN05890675_p2,SAMN12364841_p1,SAMN40891661_p1,SAMN29790239_p2,SAMN02712353_p5,SAMN55968925_p1,SAMN11547068_p1,SAMD00816383_p1,SAMN29790260_p3,SAMN11547022_p1,SAMN07337989_p3,SAMN07337862_p3,SAMN07337969_p4,SAMN54286599_p3,SAMN06169655_p1,SAMN03358816_p1,SAMN54286602_p3,SAMN43407143_p1
SAMN04088220_p3	SAMN04088220_p3
SAMN29333275_p1	SAMN29333275_p1,SAMN18298729_p1,SAMN50800683_p2,SAMN33548586_p1,SAMN56917241_p3,SAMN40571837_p2,SAMN40573830_p2,SAMN28495015_p5,SAMN20982581_p1,SAMN28494997_p3,SAMN28494995_p1,SAMN12648291_p3,SAMN50800690_p2,SAMN28767240_p3,SAMN28495034_p3,SAMN28495027_p1,SAMN47931894_p4,SAMN28767268_p5,SAMN28495041_p2,SAMN28495007_p4,SAMN41000926_p4,SAMN50800680_p1,SAMN40560843_p2,SAMN28495003_p2,SAMN44286636_p2,SAMN04088220_p1,SAMN04088219_p1,SAMN18298706_p1,SAMN28495026_p2
SAMN39606344_p2	SAMN39606344_p2,SAMN17225554_p3,SAMN56917237_p1,SAMN18298718_p2,SAMN18298715_p3,SAMN28495058_p2,SAMN28494985_p1,SAMN41920658_p1,SAMN03280974_p1,SAMN03280973_p1,SAMN48588248_p1,SAMN48588024_p1,SAMN48588021_p2,SAMN43550337_p3,SAMN28767237_p7,SAMN43405767_p2,SAMN28767273_p3,SAMN28767264_p3
SAMN28495016_p2	SAMN28495016_p2,SAMN28495035_p3,SAMN43405763_p1,SAMN28767253_p2,SAMN28495028_p1,SAMN03996337_p1,SAMEA112157105_p3
SAMN40584213_p1	SAMN40584213_p1,SAMN40573968_p1,SAMN40573876_p1,SAMN18298697_p2,SAMN28767317_p3,SAMN56917246_p2,SAMN40565715_p1
SAMN44771342_p1	SAMN44771342_p1,SAMN44771359_p2
SAMN15206675_p2	SAMN15206675_p2,SAMN18298681_p3,SAMN18298681_p2
SAMN42149898_p2	SAMN42149898_p2
SAMN54210352_p1	SAMN54210352_p1,SAMN56917240_p3
SAMN28767225_p2	SAMN28767225_p2,SAMN28767226_p3,SAMN30000174_p1,SAMN40566081_p1,SAMN48588250_p1,SAMN28767242_p4,SAMN28495042_p3,SAMN41920669_p3,SAMN18298721_p1,SAMN28494992_p3,SAMN28767218_p1,SAMN28767217_p1,SAMN28767258_p2,SAMN28767215_p2,SAMN39962932_p1,SAMN18298689_p1,SAMN28767224_p1,SAMN28767221_p11
SAMN18253121_p4	SAMN18253121_p4
SAMN40584261_p2	SAMN40584261_p2
SAMN24907460_p5	SAMN24907460_p5
SAMN12364842_p2	SAMN12364842_p2,SAMN07338031_p2,SAMN42940235_p1
SAMN28494991_p2	SAMN28494991_p2,SAMN28767267_p2,SAMN28767266_p2,SAMN28494980_p1,SAMN41920679_p4,SAMN28494984_p4,SAMN03795179_p1,SAMN28495014_p2,SAMN28494987_p3,SAMN28495006_p4,SAMN28767255_p3,SAMN28767254_p2,SAMN28494981_p4,SAMN28495022_p5,SAMN18298716_p3,SAMN12668396_p3
SAMN15597501_p1	SAMN15597501_p1,SAMN07338012_p2,SAMN35563661_p2,SAMN18385664_p2,SAMN18385663_p1,SAMN18385662_p2,SAMN18385660_p2,SAMN18385658_p2,SAMN18385657_p2,SAMN03580732_p1,SAMN18298681_p1,SAMN28767221_p4
SAMN28495009_p1	SAMN28495009_p1,SAMN28495050_p1,SAMN28494999_p1,SAMN28494994_p1
SAMN28495052_p3	SAMN28495052_p3,SAMN28767216_p3,SAMN37503413_p4,SAMN12668392_p2,SAMN18298731_p2
SAMN18298701_p1	SAMN18298701_p1,SAMEA112157104_p3
SAMN28495005_p3	SAMN28495005_p3,SAMN28495001_p1,SAMN18298683_p4,SAMN28495044_p2
SAMN40584520_p1	SAMN40584520_p1,SAMEA112157107_p2,SAMN40584486_p1
SAMN28495048_p1	SAMN28495048_p1,SAMN28495047_p1
SAMN40717396_p1	SAMN40717396_p1
SAMN13023392_p2	SAMN13023392_p2
SAMN40571800_p1	SAMN40571800_p1,SAMN40573639_p2,SAMN18298734_p2,SAMN28767339_p2
SAMN05195240_p1	SAMN05195240_p1
SAMN40891653_p1	SAMN40891653_p1
SAMN28767247_p2	SAMN28767247_p2,SAMN28767248_p2
SAMN42940244_p1	SAMN42940244_p1,SAMN06161405_p3
SAMN40584504_p1	SAMN40584504_p1,SAMN40566114_p2,SAMN40575548_p2,SAMN40560812_p2,SAMN12668395_p1,SAMN41920696_p2,SAMN28494984_p1,SAMN28495037_p1,SAMN53840722_p3,SAMN28767271_p1,SAMN28767235_p1,SAMN18298733_p2,SAMN40561044_p2,SAMN18298712_p1,SAMN28767237_p1,SAMN40584521_p1,SAMN41920669_p4,SAMN41920674_p2,SAMN18298720_p3,SAMN18298719_p3,SAMN14091514_p1,SAMN15667314_p1,SAMN48588242_p2,SAMN20982432_p1,SAMN16383616_p1
SAMN48881381_p1	SAMN48881381_p1
SAMN04320555_p1	SAMN04320555_p1
SAMN13023390_p1	SAMN13023390_p1
SAMN03799837_p2	SAMN03799837_p2,SAMN28767220_p4
SAMN28767276_p4	SAMN28767276_p4,SAMN28767275_p1,SAMN28495055_p4,SAMN28495029_p1,SAMN28494990_p3,SAMN28494979_p2,SAMN24245020_p2
SAMN28767221_p8	SAMN28767221_p8
SAMN40717398_p1	SAMN40717398_p1
SAMN47436111_p1	SAMN47436111_p1,SAMN47436114_p3,SAMN08330869_p1,SAMN32411304_p1,SAMN17225431_p1,SAMN13893117_p4,SAMN09270178_p1
SAMN08329249_p2	SAMN08329249_p2
SAMN20805040_p1	SAMN20805040_p1
SAMN12838353_p1	SAMN12838353_p1
SAMN03178171_p4	SAMN03178171_p4
SAMN13404287_p1	SAMN13404287_p1
